# --- Product-Specific Synonyms with Domain Keyword ---
soda: soft drink, pop, beverages
pita: flatbread, middle eastern bread, bakery
beef: steak, red meat, meats
chicken: poultry, white meat, meats
bread: loaf, baked goods, bakery
baguette: french bread, long bread, bakery
croissants: pastry, flaky bread, bakery
muffins: baked goods, breakfast treat, bakery
donuts: doughnuts, fried pastry, bakery
biscotti: italian cookie, coffee biscuit, bakery
crackers: snack biscuits, dry snack, bakery
pretzels: salted snack, twisted snack, bakery
pop-tarts: toaster pastry, filled pastry, bakery
rice cakes: rice snack, puffed rice, bakery
corn tortillas: maize tortillas, taco shell, bakery
flour tortillas: wheat tortillas, burrito wrap, bakery
naan: indian bread, tandoori bread, bakery
liquor: spirits, alcoholic beverage, beverages
whisky: whiskey, aged liquor, beverages
brandy: distilled wine, fruit liquor, beverages
prosecco: sparkling wine, italian wine, beverages
coffee: brewed coffee, caffeine drink, beverages
tea: herbal tea, black tea, beverages
protein powder: supplement, fitness powder, supplements
oat milk: plant milk, dairy alternative, dairy
soy milk: plant milk, soy-based milk, dairy
almond milk: plant milk, nut milk, dairy
hazelnut milk: nut milk, creamy milk, dairy
yogurt: fermented dairy, probiotic food, dairy
hard cheese: aged cheese, firm cheese, dairy
spread cheese: soft cheese, creamy cheese, dairy
soft cheese: fresh cheese, mild cheese, dairy
processed cheese: cheese product, melted cheese, dairy
condensed milk: sweetened milk, thick milk, dairy
butter milk: cultured dairy, tangy milk, dairy
frozen dessert: ice cream, frozen treat, frozen
frozen vegetables: frozen produce, preserved vegetables, frozen
root vegetables: tubers, underground vegetables, frozen
tropical fruit: exotic fruit, warm-climate fruit, fruits
citrus fruit: vitamin C fruit, tangy fruit, fruits
berries: small fruit, antioxidant fruit, fruits
strawberries: red berries, summer fruit, fruits
blueberries: superfood berries, nutrient-rich berries, fruits
raspberries: tart berries, bright red fruit, fruits
blackberries: dark berries, juicy fruit, fruits
cranberries: tangy berries, holiday fruit, fruits
pitted dates: dried fruit, sweet dates, fruits
cooking chocolate: baking chocolate, cocoa-based chocolate, sweets
instant coffee: soluble coffee, quick coffee, beverages
spices: seasonings, dried herbs, misc
mustard: condiment, yellow sauce, misc
honey: natural sweetener, bee product, misc
cocoa drinks: hot chocolate, warm beverage, sweets
muesli: granola, cereal mix, misc
almonds: tree nuts, crunchy nuts, misc
cashews: kidney nuts, buttery nuts, misc
walnuts: brain nuts, omega-3 nuts, misc
pecans: buttery nuts, pie nuts, misc
hazelnuts: filbert nuts, round nuts, misc
pumpkin seeds: pepitas, edible seeds, misc
sunflower seeds: edible seeds, crunchy seeds, misc
chia seeds: superfood seeds, omega-3 seeds, misc
quinoa: protein grain, ancient grain, misc
couscous: semolina pasta, tiny pasta, misc
barley: cereal grain, fibrous grain, misc
rolled oats: oat flakes, breakfast grain, misc
pasta: noodles, italian staple, pasta
marinara sauce: tomato sauce, pasta sauce, pasta
alfredo sauce: creamy sauce, white sauce, pasta
pesto: basil sauce, green sauce, pasta
tapenade: olive spread, mediterranean paste, pasta
guacamole: avocado spread, mexican dip, pasta
hummus: chickpea dip, middle eastern dip, pasta
salsa verde: green sauce, tangy sauce, pasta
bbq sauce: barbecue sauce, smoky sauce, pasta
soy sauce: fermented soy, asian sauce, pasta
balsamic vinegar: aged vinegar, italian dressing, pasta
sesame oil: nutty oil, cooking oil, pasta
hot sauce: spicy sauce, chili sauce, pasta
pickles: fermented cucumbers, brined vegetables, misc
olives: brined fruit, mediterranean fruit, misc
capers: pickled buds, seasoning buds, misc
artichoke hearts: edible thistle, mediterranean vegetable, pasta
roasted red peppers: grilled peppers, smoky peppers, pasta
chocolate: cocoa sweet, dark chocolate, sweets
candy: confectionery, sugary treat, sweets
dessert: sweet dish, after-meal treat, sweets
snack products: quick bites, light food, sweets
salty snack: savory snack, crunchy snack, sweets
ice cream: frozen treat, dairy dessert, sweets
protein bars: energy bars, fitness snack, sweets

white bread: light bread, wheat bread, bakery
brown bread: whole wheat bread, multigrain bread, bakery
rolls/buns: dinner rolls, buns, bakery
roll products: bakery rolls, soft rolls, bakery
semi-finished bread: pre-baked bread, ready bread, bakery
long life bakery product: shelf-stable bread, extended shelf bread, bakery
bagels: ring bread, boiled bread, bakery
